code_postal,population,nb_communes,code_departement,zone,exemples_communes
04600,2897,2,04,metro,Château-Arnoux-Saint-Auban; Montfort
04660,750,1,04,metro,Champtercier
04700,8366,6,04,metro,Entrevennes; La Brillanne; Le Castellet; Lurs; ...
04800,4088,3,04,metro,Esparron-de-Verdon; Gréoux-les-Bains; Saint-Martin-de-Brômes
04850,1146,1,04,metro,Jausiers
04860,3945,1,04,metro,Pierrevert
04870,1329,1,04,metro,Saint-Michel-l'Observatoire
05000,45711,8,05,metro,Châteauvieux; Gap; La Bâtie-Vieille; La Freissinouse; ...
05100,15459,8,05,metro,Briançon; Cervières; Montgenèvre; Névache; ...
05110,3357,8,04;05,metro,Barcillonnette; Claret; Curbans; Esparron; ...
05120,3912,3,05,metro,L'Argentière-la-Bessée; Les Vigneaux; Saint-Martin-de-Queyrières
05130,5042,9,04;05,metro,Fouillouse; Jarjayes; Lettret; Piégut; ...
05140,2004,8,05,metro,Aspremont; Aspres-sur-Buëch; La Beaume; La Faurie; ...
05150,1166,7,05,metro,Montjay; Moydans; Ribeyret; Rosans; ...
05160,1808,5,04;05,metro,Le Sauze-du-Lac; Pontis; Réallon; Saint-Apollinaire; ...
05170,651,1,05,metro,Orcières
05190,2069,6,05,metro,Bréziers; Espinasses; Remollon; Rochebrune; ...
05200,10552,9,05,metro,Baratier; Crots; Crévoux; Embrun; ...
05220,923,1,05,metro,Le Monêtier-les-Bains
05230,6988,5,05,metro,Avançon; Chorges; La Bâtie-Neuve; Montgardin; ...
05240,892,1,05,metro,La Salle-les-Alpes
05250,932,1,05,metro,Dévoluy
05260,4334,7,05,metro,Ancelle; Chabottes; Champoléon; Forest-Saint-Julien; ...
05290,839,2,05,metro,Puy-Saint-Vincent; Vallouise-Pelvoux
05300,8147,12,05,metro,Barret-sur-Méouge; Garde-Colombe; Laragne-Montéglin; Lazer; ...
05310,1271,3,05,metro,Champcella; Freissinières; La Roche-de-Rame
05320,479,1,05,metro,La Grave
05330,1494,1,05,metro,Saint-Chaffrey
05340,569,1,05,metro,Vallouise-Pelvoux
05350,1105,4,05,metro,Arvieux; Château-Ville-Vieille; Molines-en-Queyras; Saint-Véran
05380,1234,1,05,metro,Châteauroux-les-Alpes
05400,6696,11,05,metro,Chabestan; Châteauneuf-d'Oze; Furmeyer; La Roche-des-Arnauds; ...
05460,374,1,05,metro,Abriès-Ristolas
05470,369,1,05,metro,Aiguilles
05480,300,1,05,metro,Villar-d'Arêne
05500,5198,10,05,metro,Aubessagne; Buissard; La Fare-en-Champsaur; La Motte-en-Champsaur; ...
05560,588,1,05,metro,Vars
05600,5555,8,05,metro,Ceillac; Eygliers; Guillestre; Mont-Dauphin; ...
05700,3377,17,05;26,metro,Chanousse; L'Épine; La Bâtie-Montsaléon; La Piarre; ...
05800,1500,8,05,metro,Aspres-lès-Corps; Aubessagne; La Chapelle-en-Valgaudémar; Le Glaizil; ...
06000,89434,1,06,metro,Nice
06100,89434,1,06,metro,Nice
06110,41938,1,06,metro,Le Cannet
06130,25485,1,06,metro,Grasse
06140,24646,3,06,metro,Coursegoules; Tourrettes-sur-Loup; Vence
06150,37175,1,06,metro,Cannes
06160,38818,1,06,metro,Antibes
06190,12037,1,06,metro,Roquebrune-Cap-Martin
06200,89434,1,06,metro,Nice
06210,21640,1,06,metro,Mandelieu-la-Napoule
06220,29259,1,06,metro,Vallauris
06230,6539,2,06,metro,Saint-Jean-Cap-Ferrat; Villefranche-sur-Mer
06240,11936,1,06,metro,Beausoleil
06250,19782,1,06,metro,Mougins
06260,3122,13,04;06,metro,Ascros; Auvare; La Croix-sur-Roudoule; La Penne; ...
06270,17548,1,06,metro,Villeneuve-Loubet
06300,89434,1,06,metro,Nice
06310,3874,1,06,metro,Beaulieu-sur-Mer
06320,7527,2,06,metro,Cap-d'Ail; La Turbie
06330,7292,1,06,metro,Roquefort-les-Pins
06340,17354,3,06,metro,Cantaron; Drap; La Trinité
06360,2144,1,06,metro,Èze
06370,11015,1,06,metro,Mouans-Sartoux
06380,4059,2,06,metro,Moulinet; Sospel
06390,12008,5,06,metro,Bendejun; Berre-les-Alpes; Châteauneuf-Villevieille; Coaraze; ...
06400,37175,1,06,metro,Cannes
06410,10511,1,06,metro,Biot
06420,3887,12,06,metro,Bairols; Clans; Ilonse; Isola; ...
06430,2538,2,06,metro,La Brigue; Tende
06440,9318,6,06,metro,Blausasc; L'Escarène; Lucéram; Peille; ...
06450,6616,7,06,metro,Belvédère; La Bollène-Vésubie; Lantosque; Roquebillière; ...
06460,4612,3,06,metro,Caussols; Escragnolles; Saint-Vallier-de-Thiey
06470,2784,9,06,metro,Beuil; Châteauneuf-d'Entraunes; Daluis; Entraunes; ...
06480,8202,1,06,metro,La Colle-sur-Loup
06500,35014,5,06,metro,Castellar; Castillon; Gorbio; Menton; ...
06510,20616,7,06,metro,Bouyon; Bézaudun-les-Alpes; Carros; Conségudes; ...
06520,25485,1,06,metro,Grasse
06530,18473,5,06,metro,Cabris; Le Tignet; Peymeinade; Saint-Cézaire-sur-Siagne; ...
06540,3114,3,06,metro,Breil-sur-Roya; Fontan; Saorge
06550,5669,1,06,metro,La Roquette-sur-Siagne
06560,11939,1,06,metro,Valbonne
06570,3203,1,06,metro,Saint-Paul-de-Vence
06580,8240,1,06,metro,Pégomas
06590,1477,1,06,metro,Théoule-sur-Mer
06600,38818,1,06,metro,Antibes
06610,7265,1,06,metro,La Gaude
06620,4474,5,06,metro,Cipières; Courmes; Gourdon; Gréolières; ...
06640,4453,1,06,metro,Saint-Jeannet
06650,6736,2,06,metro,Le Rouret; Opio
06660,1387,2,06,metro,Saint-Dalmas-le-Selvage; Saint-Étienne-de-Tinée
06670,16352,7,06,metro,Castagniers; Colomars; Duranus; La Roquette-sur-Var; ...
06690,4624,1,06,metro,Tourrette-Levens
06700,32172,1,06,metro,Saint-Laurent-du-Var
06710,2083,5,06,metro,Malaussène; Massoins; Thiéry; Touët-sur-Var; ...
06730,5896,1,06,metro,Saint-André-de-la-Roche
06740,3815,1,06,metro,Châteauneuf-Grasse
06750,2185,4,06,metro,Andon; Caille; Séranon; Valderoure
06790,2346,1,06,metro,Aspremont
06800,53354,1,06,metro,Cagnes-sur-Mer
06810,3401,1,06,metro,Auribeau-sur-Siagne
06830,3108,5,06,metro,Bonson; Gilette; Revest-les-Roches; Toudon; ...
06850,424,3,06,metro,Briançonnet; Gars; Saint-Auban
06910,1704,11,06,metro,Aiglun; Amirat; Collongues; Cuébris; ...
06950,2185,1,06,metro,Falicon
07000,17322,13,07,metro,Ajoux; Coux; Creysseilles; Flaviac; ...
07100,23622,4,07,metro,Annonay; Boulieu-lès-Annonay; Roiffieux; Saint-Marcel-lès-Annonay
07110,8522,17,07,metro,Beaumont; Chassiers; Chazeaux; Joannas; ...
07120,6685,8,07,metro,Balazuc; Chauzon; Grospierres; Labeaume; ...
07130,15279,6,07,metro,Châteaubourg; Cornas; Saint-Péray; Saint-Romain-de-Lerps; ...
07140,6149,10,07,metro,Chambonas; Gravières; Les Assions; Les Salelles; ...
07150,6173,7,07,metro,Bessas; Labastide-de-Virac; Lagorce; Orgnac-l'Aven; ...
07160,5783,14,07,metro,Accons; Belsentes; Dornas; Jaunac; ...
07170,8654,9,07,metro,Darbres; Lavilledieu; Lussas; Mirabel; ...
07190,3410,11,07,metro,Albon-d'Ardèche; Beauvène; Gluiras; Issamoulenc; ...
07200,33114,20,07,metro,Ailhon; Aubenas; Fons; Labégude; ...
07210,9486,8,07,metro,Alissas; Baix; Chomérac; Rochessauve; ...
07220,6374,4,07,metro,Larnas; Saint-Montan; Saint-Thomé; Viviers
07230,4065,7,07,metro,Chandolas; Faugères; Lablachère; Payzac; ...
07240,3582,7,07,metro,Chalencon; Châteauneuf-de-Vernoux; Saint-Apollinaire-de-Rias; Saint-Jean-Chambre; ...
07250,3456,2,07,metro,Le Pouzin; Rompon
07260,4058,7,07,metro,Dompnac; Joyeuse; Ribes; Rosières; ...
07270,6048,10,07,metro,Boucieu-le-Roi; Colombier-le-Jeune; Empurany; Gilhoc-sur-Ormèze; ...
07290,7095,7,07,metro,Ardoix; Préaux; Quintenas; Saint-Jeure-d'Ay; ...
07300,18764,8,07,metro,Cheminas; Glun; Mauves; Plats; ...
07310,2542,9,07,metro,Arcens; Borée; Chanéac; La Rochette; ...
07320,3323,6,07,metro,Devesset; Mars; Rochepaule; Saint-Agrève; ...
07330,1735,4,07,metro,Astet; Barnas; Mayres; Thueyts
07340,13743,16,07,metro,Andance; Bogy; Brossainc; Champagne; ...
07350,2898,1,07,metro,Cruas
07360,2965,5,07,metro,Dunière-sur-Eyrieux; Les Ollières-sur-Eyrieux; Saint-Fortunat-sur-Eyrieux; Saint-Michel-de-Chabrillanoux; ...
07370,4185,4,07,metro,Arras-sur-Rhône; Eclassan; Ozon; Sarras
07380,6253,9,07,metro,Chirols; Fabras; Jaujac; La Souche; ...
07400,15412,9,07,metro,Alba-la-Romaine; Aubignas; Le Teil; Meysse; ...
07410,3945,7,07,metro,Arlebosc; Bozas; Colombier-le-Vieux; Pailharès; ...
07430,9977,6,07,metro,Colombier-le-Cardinal; Davézieux; Saint-Clair; Saint-Cyr; ...
07440,2874,4,07,metro,Alboussière; Boffres; Champis; Saint-Sylvestre
07450,1150,4,07,metro,Burzet; Péreyres; Sagnes-et-Goudoulet; Saint-Pierre-de-Colombier
07460,3992,6,07,metro,Banne; Beaulieu; Berrias-et-Casteljau; Saint-André-de-Cruzières; ...
07470,1331,4,07,metro,Coucouron; Issarlès; Lachapelle-Graillouse; Le Lac-d'Issarlès
07500,11235,1,07,metro,Guilherand-Granges
07510,776,6,07,metro,Cros-de-Géorand; Issanlas; Mazan-l'Abbaye; Saint-Cirgues-en-Montagne; ...
07520,541,3,07,metro,Lafarre; Lalouvesc; Saint-Pierre-sur-Doux
07530,1332,7,07,metro,Aizac; Genestelle; Lachamp-Raphaël; Laviolle; ...
07560,837,2,07,metro,Le Roux; Montpezat-sous-Bauzon
07570,1379,2,07,metro,Désaignes; Labatie-d'Andaure
07580,1463,4,07,metro,Berzème; Saint-Gineys-en-Coiron; Saint-Jean-le-Centenier; Saint-Pons
